customer_segment,week,avg_customer_rating,return_rate,churn_rate,complaints_count
Consumer,2010-12-27,4.447447002875703,0.17119342584698913,0.07809548152079082,4
Consumer,2011-01-31,3.9195467868866656,0.07377948443404554,0.1334972705878948,0
Consumer,2011-02-28,3.797989234601958,0.011782188037338338,0.03155642892022129,7
Consumer,2011-03-28,4.14518755684288,0.0686128277928882,0.02911876996627804,16
Consumer,2011-04-25,4.781515747846128,0.10915634227968282,0.05802072010649213,11
Consumer,2011-05-30,4.34525367834027,0.12342451664931231,0.04932584456109269,3
Consumer,2011-06-27,3.973875391801292,0.19296664822389117,0.06924356222937098,4
Consumer,2011-08-01,4.962529801475271,0.13103503795812557,0.07509631907983574,17
Consumer,2011-08-29,4.762992701826776,0.10202048068726187,0.02639122109211026,12
Consumer,2011-09-26,3.6460088435095956,0.1763164642157546,0.14955884433945682,17
Consumer,2011-10-31,4.5444405488386606,0.15729995893434795,0.13810233217437434,12
Consumer,2011-11-28,4.902084794429023,0.10072182226402347,0.012963780608325585,4
Consumer,1900-01-01,4.007006710483869,0.13136401277945223,0.05220454927593217,2
Consumer,2011-05-02,3.981624145491921,0.18477653163509944,0.11553593816463621,5
Consumer,2011-01-03,3.8906347192295923,0.0757687831720074,0.09514829408696551,17
Consumer,2011-10-03,4.150578884791805,0.18074798574632384,0.03482641698707891,8
Consumer,2011-04-04,4.7186833373979375,0.13822691579364302,0.06352859530930433,10
Consumer,2011-07-04,3.9188501257416126,0.19925116204981896,0.02147533224973616,14
Consumer,2011-09-05,4.727352388866801,0.04872376713760511,0.07083266373893124,17
Consumer,2011-12-05,4.255181250566625,0.014683667885155058,0.14574098957265139,11
Consumer,2011-06-06,4.339828926767575,0.06624631177127979,0.05343958532843176,13
Consumer,2011-02-07,4.929750956751105,0.1913800891620351,0.02413457458226259,6
Consumer,2011-11-07,4.634918036987683,0.0944227709487549,0.09059629248721338,7
Consumer,2011-03-07,4.255255976121669,0.01291837069759161,0.11247494171326129,6
Consumer,2011-08-08,3.73391012315684,0.019406842775179154,0.13013514169021653,7
Consumer,2011-05-09,3.8265760649626737,0.12269358270570872,0.14321504657624046,12
Consumer,2011-01-10,3.798227089583879,0.16598969315943202,0.09375484872924551,14
Consumer,2011-10-10,4.901372247681196,0.010577104557932402,0.04491565722087636,7
Consumer,2011-04-11,4.7113168181508485,0.13170520447036405,0.07797324618892056,14
Consumer,2011-07-11,4.538250058852935,0.09831704025814107,0.06954432841799801,7
Consumer,2011-09-12,4.794529598483051,0.1261656823874904,0.018369823503349963,5
Consumer,2011-12-12,3.9269247989968856,0.048251590367061954,0.09870310761003846,16
Consumer,2012-01-30,4.974111984784361,0.07638376423113254,0.10174114667231031,0
